Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
LightGBM,0.8035,0.5685185185185185,0.46269781461944237,0.5101786456169506,0.7717347535611188,0.445509672164917
XGBoost,0.7968333333333333,0.5466321243523317,0.4770158251695554,0.509456740442656,0.7664481667763521,0.6252865791320801
Logistic Regression,0.7398333333333333,0.4353591160220994,0.5938206480783723,0.5023908192540644,0.7443241659384323,0.585777759552002
Random Forest,0.7908333333333334,0.5309810671256454,0.46495855312735496,0.495781438328646,0.7549212063529025,2.983062505722046
Decision Tree,0.7191666666666666,0.4092292089249493,0.6081386586284853,0.4892391633828433,0.7252520572655916,1.517704725265503
Neural Network,0.7036666666666667,0.3779101245262588,0.5259984928409948,0.43982356647763077,0.6900941788926461,58.30748748779297
